Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course,Languages,Religion,Interests
52,Панкратов Егорий Иванович,26,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1,Русский,Атеизм,"Музыка, Программирование, Рисование"
53,Захаров Ерофей Леонтьевич,18,М,Бакалавриат,Факультет математики,3,Английский,Атеизм,Волейбол
54,Соловьева Светлана Антоновна,29,Ж,Бакалавриат,Факультет урбанистики,1,"Китайский, Английский",Атеизм,Волейбол
55,Виноградов Тимур Максимович,20,М,Бакалавриат,Факультет бизнеса и менеджмента,4,Русский,Православие,"Рисование, Настольные игры"
56,Лазарев Давид Семёнович,23,М,Бакалавриат,Факультет гуманитарных наук,2,Русский,Ислам,Волейбол
57,Архипов Эдуард Георгиевич,20,М,Аспирантура,Факультет гуманитарных наук,1,"Русский, Английский",Православие,Настольные игры
58,Павлов Аким Виталиевич,29,М,Специалитет,Факультет урбанистики,5,Английский,Ислам,"Настольный теннис, Баскетбол"
59,Сидорова Кристина Михайловна,18,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3,Русский,Атеизм,Футбол
60,Шаров Родион Виталиевич,29,М,Специалитет,Факультет гуманитарных наук,5,Английский,Атеизм,Шахматы
61,Макаров Федот Станиславович,25,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,Русский,Ислам,Музыка
62,Дроздов Макар Кондратьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,3,Русский,Атеизм,"Баскетбол, Футбол"
63,Маслов Феликс Анатольевич,28,М,Бакалавриат,Факультет математики,2,"Китайский, Английский",Атеизм,Рисование
64,Кириллов Ерофей Арсеньевич,24,М,Бакалавриат,Факультет урбанистики,3,"Русский, Английский",Православие,"Баскетбол, Рисование, Настольный теннис"
65,Сергеева Мелания Евграфовна,25,Ж,Специалитет,Факультет мировой экономики и мировой политики,1,Английский,Православие,"Футбол, Настольный теннис, Рисование"
66,Шестакова Анфиса Андреевна,24,Ж,Специалитет,Факультет социальных наук,4,Русский,Православие,"Баскетбол, Настольный теннис, Шахматы"
67,Павлова Нина Леонидовна,30,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2,Русский,Православие,"Футбол, Шахматы"
68,Шилов Владимир Тимофеевич,22,М,Магистратура,Факультет права,1,"Китайский, Английский",Православие,"Шахматы, Настольный теннис"
69,Фёдоров Платон Федосеевич,20,М,Бакалавриат,Факультет гуманитарных наук,3,Русский,Ислам,"Настольные игры, Футбол, Баскетбол"
70,Шестаков Валентин Семёнович,20,М,Магистратура,Факультет гуманитарных наук,2,Английский,Атеизм,Программирование
71,Сидорова Екатерина Георгиевна,19,Ж,Бакалавриат,Факультет социальных наук,1,"Русский, Английский",Православие,"Программирование, Музыка"
72,Сергеев Вячеслав Аркадьевич,27,М,Бакалавриат,Факультет математики,3,Русский,Ислам,Футбол
73,Чернышев Евсей Петрович,27,М,Бакалавриат,Факультет урбанистики,1,Русский,Буддизм,"Музыка, Рисование, Настольный теннис"
74,Беляев Виталий Владимирович,20,М,Специалитет,Факультет урбанистики,5,Английский,Атеизм,Шахматы
75,Ершов Ерофей Евсеевич,21,М,Магистратура,Факультет мировой экономики и мировой политики,2,"Русский, Английский",Православие,"Настольные игры, Рисование, Футбол"
76,Соколов Геннадий Геннадьевич,28,М,Магистратура,Факультет экономических наук,1,Русский,Православие,"Настольный теннис, Волейбол, Футбол"
77,Гордеев Григорий Леонтьевич,28,М,Аспирантура,Факультет бизнеса и менеджмента,1,Английский,Атеизм,Настольные игры
78,Назаров Еремей Варламович,30,М,Магистратура,Факультет бизнеса и менеджмента,1,"Русский, Английский",Ислам,"Шахматы, Настольные игры"
79,Николаева Аврора Тимуровна,21,Ж,Аспирантура,Факультет бизнеса и менеджмента,3,Английский,Православие,"Баскетбол, Рисование, Настольный теннис"
80,Гаврилов Антон Станиславович,22,М,Магистратура,Факультет социальных наук,2,Английский,Православие,"Программирование, Баскетбол, Шахматы"
81,Гордеев Даниил Валентинович,25,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",3,"Русский, Английский",Православие,"Баскетбол, Музыка"
82,Крылова Яна Кондратьевна,21,Ж,Аспирантура,Факультет права,3,Русский,Православие,"Футбол, Настольные игры"
83,Капустин Алексей Саввич,23,М,Магистратура,Факультет права,2,Английский,Православие,"Футбол, Шахматы"
84,Михайлова Амелия Федотовна,25,Ж,Бакалавриат,Факультет экономических наук,3,Русский,Атеизм,"Настольный теннис, Баскетбол, Шахматы"
85,Ефремов Александр Вениаминович,18,М,Магистратура,Факультет гуманитарных наук,2,Английский,Атеизм,"Рисование, Настольный теннис, Музыка"
86,Головина Милана Еремеевна,28,Ж,Аспирантура,Факультет гуманитарных наук,1,"Русский, Английский",Православие,"Настольный теннис, Шахматы"
87,Виноградов Аким Евграфович,30,М,Бакалавриат,Факультет социальных наук,1,"Русский, Английский",Православие,"Рисование, Программирование"
88,Виноградов Агей Миронович,18,М,Специалитет,Факультет компьютерных наук,5,Русский,Атеизм,Рисование
89,Сафонова Евдокия Станиславовна,25,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,"Китайский, Английский",Атеизм,Волейбол
90,Ковалёв Артур Евгеньевич,29,М,Специалитет,Факультет урбанистики,4,"Русский, Английский",Атеизм,Настольный теннис
91,Кондратьев Тарас Прохорович,20,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3,Русский,Ислам,"Футбол, Шахматы, Баскетбол"
92,Васильева Алёна Федоровна,20,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",4,Русский,Православие,"Футбол, Баскетбол, Рисование"
93,Мартынов Григорий Филиппович,21,М,Специалитет,Факультет мировой экономики и мировой политики,4,Русский,Буддизм,"Шахматы, Программирование"
94,Карпов Давид Кириллович,30,М,Магистратура,Факультет математики,2,Русский,Ислам,"Настольные игры, Программирование, Музыка"
95,Назаров Тихон Даниилович,24,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1,Английский,Буддизм,Шахматы
96,Дмитриев Павел Антонович,19,М,Бакалавриат,Факультет права,1,Русский,Атеизм,Футбол
97,Дроздов Даниил Семёнович,19,М,Бакалавриат,Факультет мировой экономики и мировой политики,2,"Русский, Английский",Православие,"Настольные игры, Программирование"
98,Макаров Захар Филиппович,28,М,Специалитет,Факультет бизнеса и менеджмента,1,Английский,Православие,Рисование
99,Голубева Алина Адамовна,18,Ж,Бакалавриат,Факультет урбанистики,4,Английский,Православие,"Музыка, Футбол"
100,Михайлов Силантий Валентинович,30,М,Магистратура,Факультет компьютерных наук,2,"Русский, Английский",Ислам,"Рисование, Настольные игры, Настольный теннис"
101,Миронов Семен Дмитриевич,23,М,Специалитет,Факультет социальных наук,3,Русский,Атеизм,Волейбол
102,Крылов Максим Антонович,27,М,Бакалавриат,Факультет бизнеса и менеджмента,2,Русский,Буддизм,"Баскетбол, Настольные игры, Волейбол"
103,Федосеев Аркадий Родионович,27,М,Аспирантура,Факультет компьютерных наук,1,"Русский, Английский",Православие,"Программирование, Настольные игры, Настольный теннис"
104,Иванова Людмила Денисовна,21,Ж,Аспирантура,Факультет права,2,Английский,Буддизм,"Шахматы, Музыка, Баскетбол"
105,Федосеева Алевтина Андреевна,20,Ж,Специалитет,Факультет компьютерных наук,4,Русский,Ислам,"Программирование, Волейбол, Футбол"
106,Киселева Гертруда Анатольевна,28,Ж,Аспирантура,Факультет гуманитарных наук,3,Русский,Атеизм,Рисование
107,Сергеева Диана Родионовна,29,Ж,Бакалавриат,Факультет урбанистики,1,Русский,Ислам,"Волейбол, Баскетбол"
108,Лебедева Галина Эдуардовна,28,Ж,Специалитет,Факультет экономических наук,4,Русский,Православие,"Программирование, Музыка, Шахматы"
109,Богданова Полина Ярославовна,23,Ж,Специалитет,Факультет урбанистики,3,"Русский, Английский",Православие,Шахматы
110,Панкратова Алёна Виталиевна,20,Ж,Бакалавриат,Факультет права,1,"Русский, Английский",Ислам,"Настольный теннис, Настольные игры, Волейбол"
111,Виноградова Регина Федотовна,23,Ж,Магистратура,Факультет социальных наук,2,"Русский, Английский",Ислам,"Рисование, Волейбол, Музыка"
112,Чернышев Вячеслав Еремеевич,27,М,Аспирантура,Факультет математики,3,Русский,Ислам,Программирование
113,Ефремов Юлиан Глебович,24,М,Бакалавриат,Факультет бизнеса и менеджмента,4,Английский,Буддизм,"Футбол, Волейбол, Музыка"
114,Крылов Феликс Тимурович,20,М,Магистратура,Факультет урбанистики,1,Русский,Православие,"Шахматы, Волейбол, Музыка"
115,Гордеев Станислав Анатольевич,29,М,Бакалавриат,Факультет мировой экономики и мировой политики,1,Английский,Ислам,"Волейбол, Музыка"
116,Жуков Сергей Константинович,20,М,Бакалавриат,Факультет социальных наук,2,Английский,Буддизм,"Футбол, Музыка, Волейбол"
117,Морозов Яков Леонидович,20,М,Магистратура,Факультет социальных наук,2,"Русский, Английский",Буддизм,Шахматы
118,Шубин Родион Родионович,26,М,Специалитет,Факультет бизнеса и менеджмента,3,"Русский, Английский",Атеизм,Настольные игры
119,Титова Зоя Григорьевна,19,Ж,Бакалавриат,Факультет гуманитарных наук,3,"Русский, Английский",Буддизм,"Настольные игры, Рисование"
120,Смирнов Денис Эдуардович,23,М,Аспирантура,Факультет математики,1,Русский,Буддизм,"Волейбол, Настольный теннис, Настольные игры"
121,Кузнецов Николай Валерьевич,19,М,Специалитет,Факультет экономических наук,1,Русский,Православие,Рисование
122,Егорова Арья Захаровна,22,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",1,Английский,Атеизм,"Волейбол, Шахматы, Музыка"
123,Богданова Алина Андреевна,18,Ж,Специалитет,Факультет математики,1,Английский,Православие,"Футбол, Музыка, Шахматы"
124,Титов Яков Глебович,21,М,Магистратура,Факультет компьютерных наук,2,Русский,Православие,"Музыка, Программирование, Настольный теннис"
125,Васильев Артур Вячеславович,19,М,Специалитет,Факультет урбанистики,2,Английский,Православие,Настольные игры
126,Петров Клим Анатольевич,18,М,Магистратура,Факультет бизнеса и менеджмента,1,Английский,Ислам,"Настольный теннис, Футбол"
127,Семенов Адам Валерьевич,28,М,Аспирантура,Факультет права,1,Русский,Ислам,"Настольные игры, Настольный теннис, Программирование"
128,Новиков Даниил Викторович,19,М,Бакалавриат,Факультет экономических наук,4,"Русский, Английский",Буддизм,Музыка
129,Трофимов Матвей Варламович,20,М,Аспирантура,Факультет бизнеса и менеджмента,1,Русский,Православие,Баскетбол
130,Акимов Тимур Владимирович,18,М,Аспирантура,Факультет урбанистики,3,Английский,Атеизм,"Футбол, Баскетбол, Музыка"
131,Котова Марианна Георгиевна,27,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3,"Русский, Английский",Православие,Футбол
132,Чернышев Кирилл Евсеевич,21,М,Аспирантура,Факультет права,2,Русский,Атеизм,"Волейбол, Настольный теннис"
133,Морозов Григорий Денисович,28,М,Магистратура,Факультет бизнеса и менеджмента,2,Английский,Ислам,"Настольные игры, Футбол, Настольный теннис"
134,Петухов Денис Евграфович,23,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",5,Английский,Православие,"Настольные игры, Шахматы, Футбол"
135,Морозов Владислав Станиславович,22,М,Специалитет,Факультет математики,2,Английский,Ислам,Футбол
136,Акимов Варлам Матвеевич,18,М,Специалитет,Факультет компьютерных наук,1,Английский,Буддизм,Музыка
137,Зуев Вячеслав Филиппович,29,М,Специалитет,Факультет социальных наук,4,Русский,Ислам,Баскетбол
138,Князев Юрий Дмитриевич,18,М,Бакалавриат,Факультет компьютерных наук,2,"Русский, Английский",Православие,"Волейбол, Рисование, Шахматы"
139,Ушаков Савелий Михайлович,26,М,Бакалавриат,Факультет компьютерных наук,2,Английский,Ислам,"Шахматы, Футбол, Программирование"
140,Чернышев Федор Иванович,22,М,Аспирантура,Факультет математики,1,"Русский, Английский",Атеизм,"Футбол, Настольные игры"
141,Крылов Леонтий Георгиевич,24,М,Магистратура,Факультет урбанистики,2,"Русский, Английский",Православие,Программирование
142,Карпова Жанна Вячеславовна,20,Ж,Специалитет,"Факультет коммуникаций, медиа и дизайна",1,Английский,Атеизм,Музыка
143,Борисов Станислав Валерьевич,21,М,Магистратура,Факультет математики,1,Русский,Православие,Баскетбол
144,Ларионова Ульяна Владимировна,23,Ж,Специалитет,Факультет компьютерных наук,4,Русский,Ислам,"Шахматы, Волейбол, Настольные игры"
145,Чернова Юлия Владимировна,30,Ж,Магистратура,Факультет бизнеса и менеджмента,2,Английский,Ислам,"Настольный теннис, Настольные игры"
146,Овчинников Модест Ярославович,30,М,Специалитет,Факультет экономических наук,4,Русский,Ислам,"Шахматы, Настольный теннис"
147,Ушакова Венера Максимовна,27,Ж,Специалитет,Факультет экономических наук,3,Русский,Православие,"Рисование, Футбол"
148,Герасимов Дмитрий Федосеевич,25,М,Бакалавриат,Факультет бизнеса и менеджмента,2,Английский,Православие,Рисование
149,Калашникова Ирина Олеговна,29,Ж,Магистратура,Факультет урбанистики,1,Английский,Православие,"Рисование, Шахматы, Волейбол"
150,Кузнецова Ярослава Ратмировна,20,Ж,Бакалавриат,Факультет экономических наук,1,Русский,Православие,Настольные игры
151,Павлов Елисей Эдуардович,18,М,Аспирантура,Факультет права,1,"Русский, Английский",Ислам,"Музыка, Настольный теннис"
152,Кожевников Матвей Кириллович,22,М,Бакалавриат,Факультет бизнеса и менеджмента,2,Английский,Ислам,Шахматы
153,Мухина Лариса Станиславовна,23,Ж,Магистратура,Факультет компьютерных наук,1,Английский,Ислам,Волейбол
154,Прохоров Федот Анатольевич,27,М,Магистратура,Факультет урбанистики,2,"Русский, Английский",Ислам,"Рисование, Программирование"
155,Петухова Олеся Кондратьевна,21,Ж,Аспирантура,Факультет гуманитарных наук,3,"Русский, Английский",Православие,Музыка
156,Маслов Клим Леонидович,22,М,Магистратура,Факультет бизнеса и менеджмента,2,Английский,Буддизм,"Настольные игры, Программирование"
157,Макарова Гертруда Анатольевна,23,Ж,Аспирантура,Факультет социальных наук,1,"Русский, Английский",Православие,Шахматы
158,Полякова Маргарита Матвеевна,26,Ж,Магистратура,Факультет урбанистики,1,Русский,Православие,Футбол
159,Фролова Олеся Георгиевна,27,Ж,Аспирантура,Факультет урбанистики,2,Русский,Православие,"Настольный теннис, Шахматы, Волейбол"
160,Воронова Августа Леонидовна,30,Ж,Специалитет,Факультет урбанистики,2,"Русский, Английский",Атеизм,Шахматы
161,Дьякова Влада Георгиевна,27,Ж,Магистратура,Факультет урбанистики,1,"Китайский, Английский",Православие,"Программирование, Настольный теннис"
162,Егоров Викентий Филиппович,21,М,Бакалавриат,Факультет права,3,Английский,Православие,"Программирование, Настольные игры"
163,Федотова Регина Георгиевна,26,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",2,Английский,Буддизм,Настольные игры
164,Назарова Дарина Вячеславовна,18,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3,Английский,Ислам,Футбол
165,Жукова Мирослава Тарасовна,30,Ж,Магистратура,Факультет экономических наук,1,"Русский, Английский",Буддизм,"Настольный теннис, Баскетбол, Музыка"
166,Гаврилов Михаил Матвеевич,26,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",2,"Русский, Английский",Буддизм,"Музыка, Настольные игры"
167,Мухина Стефания Максимовна,21,Ж,Бакалавриат,Факультет урбанистики,4,"Русский, Английский",Атеизм,Настольный теннис
168,Шарова Лилия Анатольевна,30,Ж,Специалитет,Факультет гуманитарных наук,2,Английский,Ислам,"Шахматы, Футбол, Баскетбол"
169,Назаров Геннадий Платонович,29,М,Магистратура,Факультет урбанистики,2,"Русский, Английский",Атеизм,"Рисование, Музыка, Футбол"
170,Дроздова Анфиса Евсеевна,23,Ж,Аспирантура,Факультет экономических наук,1,Русский,Православие,"Рисование, Программирование"
171,Горшкова Ярослава Антоновна,20,Ж,Магистратура,Факультет математики,2,"Китайский, Английский",Атеизм,Программирование
172,Архипов Давид Федосеевич,30,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",2,"Русский, Английский",Православие,"Волейбол, Рисование"
173,Шубина Ия Федоровна,20,Ж,Аспирантура,Факультет бизнеса и менеджмента,3,"Русский, Английский",Православие,Рисование
174,Маслов Ярослав Иванович,30,М,Специалитет,Факультет социальных наук,2,"Русский, Английский",Атеизм,"Футбол, Баскетбол, Музыка"
175,Акимов Роман Юлианович,26,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4,Русский,Атеизм,"Программирование, Шахматы"
176,Иванов Ярослав Варламович,20,М,Аспирантура,Факультет права,1,Русский,Ислам,"Настольные игры, Футбол"
177,Чернова Надежда Савельевна,26,Ж,Специалитет,Факультет математики,1,Русский,Православие,Рисование
178,Панкратова Элеонора Станиславовна,21,Ж,Специалитет,Факультет социальных наук,5,Русский,Атеизм,Музыка
179,Князева Ксения Юлиановна,24,Ж,Аспирантура,Факультет гуманитарных наук,3,"Русский, Английский",Буддизм,"Баскетбол, Волейбол"
180,Князев Олег Александрович,24,М,Аспирантура,Факультет экономических наук,1,"Русский, Английский",Атеизм,"Баскетбол, Волейбол"
181,Беликов Август Родионович,20,М,Магистратура,Факультет бизнеса и менеджмента,2,"Русский, Английский",Буддизм,"Программирование, Настольный теннис"
182,Зуев Александр Даниилович,19,М,Бакалавриат,Факультет права,1,Английский,Атеизм,"Программирование, Настольный теннис"
183,Федотов Леонид Матвеевич,24,М,Аспирантура,Факультет бизнеса и менеджмента,1,Русский,Православие,"Рисование, Футбол"
184,Киселева Сара Леонидовна,29,Ж,Аспирантура,Факультет компьютерных наук,3,Русский,Православие,"Волейбол, Настольные игры, Шахматы"
185,Мухина Эмилия Леонтьевна,30,Ж,Специалитет,Факультет права,3,"Русский, Английский",Атеизм,"Шахматы, Футбол"
186,Виноградова Нина Виталиевна,29,Ж,Специалитет,Факультет экономических наук,4,Русский,Православие,"Футбол, Настольный теннис"
187,Архипова Марианна Борисовна,26,Ж,Специалитет,Факультет урбанистики,3,"Русский, Английский",Атеизм,Рисование
188,Петухов Давид Юлианович,21,М,Специалитет,Факультет урбанистики,1,Английский,Буддизм,"Настольные игры, Шахматы, Музыка"
189,Зуев Артем Матвеевич,24,М,Магистратура,Факультет математики,2,"Русский, Английский",Православие,Настольный теннис
190,Соколова Нелли Евсеевна,23,Ж,Магистратура,Факультет математики,1,Русский,Атеизм,"Настольные игры, Программирование, Рисование"
191,Назаров Геннадий Юрьевич,19,М,Аспирантура,Факультет компьютерных наук,3,"Китайский, Английский",Атеизм,Музыка
192,Сазонова Марта Ивановна,24,Ж,Бакалавриат,Факультет математики,1,Русский,Буддизм,"Программирование, Шахматы"
193,Волков Агей Юрьевич,25,М,Магистратура,Факультет экономических наук,2,"Русский, Английский",Ислам,"Футбол, Настольные игры, Настольный теннис"
194,Фёдоров Руслан Родионович,21,М,Бакалавриат,Факультет бизнеса и менеджмента,1,Русский,Ислам,"Программирование, Волейбол"
195,Горшков Виталий Валентинович,26,М,Бакалавриат,Факультет компьютерных наук,3,Английский,Атеизм,Баскетбол
196,Маслова Алина Арсеньевна,18,Ж,Магистратура,Факультет экономических наук,1,Русский,Ислам,"Баскетбол, Волейбол"
197,Беликова Алла Георгиевна,22,Ж,Аспирантура,Факультет математики,2,"Русский, Английский",Православие,"Настольный теннис, Музыка, Шахматы"
198,Федосеева Эвелина Евгеньевна,19,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1,Русский,Православие,"Настольные игры, Программирование"
199,Семенова Ольга Дмитриевна,22,Ж,Аспирантура,Факультет гуманитарных наук,2,"Русский, Английский",Буддизм,"Настольный теннис, Баскетбол"
200,Князев Георгий Максимович,29,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4,Русский,Ислам,Футбол
201,Федотова Лия Мироновна,24,Ж,Специалитет,Факультет гуманитарных наук,5,Русский,Православие,"Музыка, Программирование, Шахматы"
