Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course
26,Шаров Семен Глебович,23,М,Бакалавриат,Факультет права,4
27,Игнатьев Анатолий Артёмович,20,М,Бакалавриат,Факультет урбанистики,4
28,Ковалева Анфиса Антоновна,22,Ж,Специалитет,Факультет математики,1
29,Шестаков Федор Олегович,27,М,Специалитет,Факультет гуманитарных наук,4
30,Котова Елизавета Георгиевна,29,Ж,Аспирантура,Факультет бизнеса и менеджмента,2
31,Овчинникова Алиса Станиславовна,20,Ж,Бакалавриат,Факультет гуманитарных наук,3
32,Титов Тарас Адамович,26,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",5
33,Николаев Прохор Платонович,25,М,Специалитет,Факультет компьютерных наук,5
34,Федосеев Максим Викторович,19,М,Специалитет,Факультет мировой экономики и мировой политики,1
35,Беликов Тарас Миронович,21,М,Специалитет,Факультет компьютерных наук,5
36,Ларионов Глеб Евгеньевич,22,М,Специалитет,Факультет гуманитарных наук,4
37,Михайлов Глеб Леонтьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,5
38,Мартынова Лея Никитична,20,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3
39,Киселева Алина Денисовна,30,Ж,Специалитет,Факультет социальных наук,1
40,Фёдорова Дарина Вениаминовна,24,Ж,Аспирантура,Факультет бизнеса и менеджмента,1
41,Федотов Игнат Даниилович,30,М,Магистратура,Факультет компьютерных наук,2
42,Дьякова Ульяна Арсеньевна,29,Ж,Специалитет,Факультет компьютерных наук,4
43,Гаврилов Глеб Глебович,25,М,Аспирантура,Факультет компьютерных наук,2
44,Сафонова Ольга Александровна,26,Ж,Аспирантура,Факультет социальных наук,2
45,Лазарев Тарас Сергеевич,21,М,Аспирантура,Факультет урбанистики,1
46,Петрова Дарина Дмитриевна,25,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2
47,Игнатьев Петр Платонович,18,М,Аспирантура,Факультет гуманитарных наук,3
48,Шубин Станислав Даниилович,28,М,Бакалавриат,Факультет математики,3
49,Кожевникова Людмила Игнатьевна,22,Ж,Аспирантура,Факультет экономических наук,3
50,Гордеев Леонид Викторович,27,М,Аспирантура,Факультет мировой экономики и мировой политики,3
51,Мухин Филипп Виталиевич,27,М,Магистратура,Факультет права,2
52,Панкратов Егорий Иванович,26,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1
53,Захаров Ерофей Леонтьевич,18,М,Бакалавриат,Факультет математики,3
54,Соловьева Светлана Антоновна,29,Ж,Бакалавриат,Факультет урбанистики,1
55,Виноградов Тимур Максимович,20,М,Бакалавриат,Факультет бизнеса и менеджмента,4
56,Лазарев Давид Семёнович,23,М,Бакалавриат,Факультет гуманитарных наук,2
57,Архипов Эдуард Георгиевич,20,М,Аспирантура,Факультет гуманитарных наук,1
58,Павлов Аким Виталиевич,29,М,Специалитет,Факультет урбанистики,5
59,Сидорова Кристина Михайловна,18,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3
60,Шаров Родион Виталиевич,29,М,Специалитет,Факультет гуманитарных наук,5
61,Макаров Федот Станиславович,25,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1
62,Дроздов Макар Кондратьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,3
63,Маслов Феликс Анатольевич,28,М,Бакалавриат,Факультет математики,2
64,Кириллов Ерофей Арсеньевич,24,М,Бакалавриат,Факультет урбанистики,3
65,Сергеева Мелания Евграфовна,25,Ж,Специалитет,Факультет мировой экономики и мировой политики,1
66,Шестакова Анфиса Андреевна,24,Ж,Специалитет,Факультет социальных наук,4
67,Павлова Нина Леонидовна,30,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2
68,Шилов Владимир Тимофеевич,22,М,Магистратура,Факультет права,1
69,Фёдоров Платон Федосеевич,20,М,Бакалавриат,Факультет гуманитарных наук,3
70,Шестаков Валентин Семёнович,20,М,Магистратура,Факультет гуманитарных наук,2
71,Сидорова Екатерина Георгиевна,19,Ж,Бакалавриат,Факультет социальных наук,1
72,Сергеев Вячеслав Аркадьевич,27,М,Бакалавриат,Факультет математики,3
73,Чернышев Евсей Петрович,27,М,Бакалавриат,Факультет урбанистики,1
74,Беляев Виталий Владимирович,20,М,Специалитет,Факультет урбанистики,5
75,Ершов Ерофей Евсеевич,21,М,Магистратура,Факультет мировой экономики и мировой политики,2
76,Соколов Геннадий Геннадьевич,28,М,Магистратура,Факультет экономических наук,1
77,Гордеев Григорий Леонтьевич,28,М,Аспирантура,Факультет бизнеса и менеджмента,1
78,Назаров Еремей Варламович,30,М,Магистратура,Факультет бизнеса и менеджмента,1
79,Николаева Аврора Тимуровна,21,Ж,Аспирантура,Факультет бизнеса и менеджмента,3
80,Гаврилов Антон Станиславович,22,М,Магистратура,Факультет социальных наук,2
81,Гордеев Даниил Валентинович,25,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",3
82,Крылова Яна Кондратьевна,21,Ж,Аспирантура,Факультет права,3
83,Капустин Алексей Саввич,23,М,Магистратура,Факультет права,2
84,Михайлова Амелия Федотовна,25,Ж,Бакалавриат,Факультет экономических наук,3
85,Ефремов Александр Вениаминович,18,М,Магистратура,Факультет гуманитарных наук,2
86,Головина Милана Еремеевна,28,Ж,Аспирантура,Факультет гуманитарных наук,1
87,Виноградов Аким Евграфович,30,М,Бакалавриат,Факультет социальных наук,1
88,Виноградов Агей Миронович,18,М,Специалитет,Факультет компьютерных наук,5
89,Сафонова Евдокия Станиславовна,25,Ж,Аспирантура,Факультет бизнеса и менеджмента,1
90,Ковалёв Артур Евгеньевич,29,М,Специалитет,Факультет урбанистики,4
91,Кондратьев Тарас Прохорович,20,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
92,Васильева Алёна Федоровна,20,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",4
93,Мартынов Григорий Филиппович,21,М,Специалитет,Факультет мировой экономики и мировой политики,4
94,Карпов Давид Кириллович,30,М,Магистратура,Факультет математики,2
95,Назаров Тихон Даниилович,24,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1
96,Дмитриев Павел Антонович,19,М,Бакалавриат,Факультет права,1
97,Дроздов Даниил Семёнович,19,М,Бакалавриат,Факультет мировой экономики и мировой политики,2
98,Макаров Захар Филиппович,28,М,Специалитет,Факультет бизнеса и менеджмента,1
99,Голубева Алина Адамовна,18,Ж,Бакалавриат,Факультет урбанистики,4
100,Михайлов Силантий Валентинович,30,М,Магистратура,Факультет компьютерных наук,2
101,Миронов Семен Дмитриевич,23,М,Специалитет,Факультет социальных наук,3
102,Крылов Максим Антонович,27,М,Бакалавриат,Факультет бизнеса и менеджмента,2
103,Федосеев Аркадий Родионович,27,М,Аспирантура,Факультет компьютерных наук,1
104,Иванова Людмила Денисовна,21,Ж,Аспирантура,Факультет права,2
105,Федосеева Алевтина Андреевна,20,Ж,Специалитет,Факультет компьютерных наук,4
106,Киселева Гертруда Анатольевна,28,Ж,Аспирантура,Факультет гуманитарных наук,3
107,Сергеева Диана Родионовна,29,Ж,Бакалавриат,Факультет урбанистики,1
108,Лебедева Галина Эдуардовна,28,Ж,Специалитет,Факультет экономических наук,4
109,Богданова Полина Ярославовна,23,Ж,Специалитет,Факультет урбанистики,3
110,Панкратова Алёна Виталиевна,20,Ж,Бакалавриат,Факультет права,1
111,Виноградова Регина Федотовна,23,Ж,Магистратура,Факультет социальных наук,2
112,Чернышев Вячеслав Еремеевич,27,М,Аспирантура,Факультет математики,3
113,Ефремов Юлиан Глебович,24,М,Бакалавриат,Факультет бизнеса и менеджмента,4
114,Крылов Феликс Тимурович,20,М,Магистратура,Факультет урбанистики,1
115,Гордеев Станислав Анатольевич,29,М,Бакалавриат,Факультет мировой экономики и мировой политики,1
116,Жуков Сергей Константинович,20,М,Бакалавриат,Факультет социальных наук,2
117,Морозов Яков Леонидович,20,М,Магистратура,Факультет социальных наук,2
118,Шубин Родион Родионович,26,М,Специалитет,Факультет бизнеса и менеджмента,3
119,Титова Зоя Григорьевна,19,Ж,Бакалавриат,Факультет гуманитарных наук,3
120,Смирнов Денис Эдуардович,23,М,Аспирантура,Факультет математики,1
121,Кузнецов Николай Валерьевич,19,М,Специалитет,Факультет экономических наук,1
122,Егорова Арья Захаровна,22,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",1
123,Богданова Алина Андреевна,18,Ж,Специалитет,Факультет математики,1
124,Титов Яков Глебович,21,М,Магистратура,Факультет компьютерных наук,2
125,Васильев Артур Вячеславович,19,М,Специалитет,Факультет урбанистики,2
126,Петров Клим Анатольевич,18,М,Магистратура,Факультет бизнеса и менеджмента,1
127,Семенов Адам Валерьевич,28,М,Аспирантура,Факультет права,1
128,Новиков Даниил Викторович,19,М,Бакалавриат,Факультет экономических наук,4
129,Трофимов Матвей Варламович,20,М,Аспирантура,Факультет бизнеса и менеджмента,1
130,Акимов Тимур Владимирович,18,М,Аспирантура,Факультет урбанистики,3
131,Котова Марианна Георгиевна,27,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
132,Чернышев Кирилл Евсеевич,21,М,Аспирантура,Факультет права,2
133,Морозов Григорий Денисович,28,М,Магистратура,Факультет бизнеса и менеджмента,2
134,Петухов Денис Евграфович,23,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",5
135,Морозов Владислав Станиславович,22,М,Специалитет,Факультет математики,2
136,Акимов Варлам Матвеевич,18,М,Специалитет,Факультет компьютерных наук,1
137,Зуев Вячеслав Филиппович,29,М,Специалитет,Факультет социальных наук,4
138,Князев Юрий Дмитриевич,18,М,Бакалавриат,Факультет компьютерных наук,2
139,Ушаков Савелий Михайлович,26,М,Бакалавриат,Факультет компьютерных наук,2
140,Чернышев Федор Иванович,22,М,Аспирантура,Факультет математики,1
141,Крылов Леонтий Георгиевич,24,М,Магистратура,Факультет урбанистики,2
142,Карпова Жанна Вячеславовна,20,Ж,Специалитет,"Факультет коммуникаций, медиа и дизайна",1
143,Борисов Станислав Валерьевич,21,М,Магистратура,Факультет математики,1
144,Ларионова Ульяна Владимировна,23,Ж,Специалитет,Факультет компьютерных наук,4
145,Чернова Юлия Владимировна,30,Ж,Магистратура,Факультет бизнеса и менеджмента,2
146,Овчинников Модест Ярославович,30,М,Специалитет,Факультет экономических наук,4
147,Ушакова Венера Максимовна,27,Ж,Специалитет,Факультет экономических наук,3
148,Герасимов Дмитрий Федосеевич,25,М,Бакалавриат,Факультет бизнеса и менеджмента,2
149,Калашникова Ирина Олеговна,29,Ж,Магистратура,Факультет урбанистики,1
150,Кузнецова Ярослава Ратмировна,20,Ж,Бакалавриат,Факультет экономических наук,1
151,Павлов Елисей Эдуардович,18,М,Аспирантура,Факультет права,1
152,Кожевников Матвей Кириллович,22,М,Бакалавриат,Факультет бизнеса и менеджмента,2
153,Мухина Лариса Станиславовна,23,Ж,Магистратура,Факультет компьютерных наук,1
154,Прохоров Федот Анатольевич,27,М,Магистратура,Факультет урбанистики,2
155,Петухова Олеся Кондратьевна,21,Ж,Аспирантура,Факультет гуманитарных наук,3
156,Маслов Клим Леонидович,22,М,Магистратура,Факультет бизнеса и менеджмента,2
157,Макарова Гертруда Анатольевна,23,Ж,Аспирантура,Факультет социальных наук,1
158,Полякова Маргарита Матвеевна,26,Ж,Магистратура,Факультет урбанистики,1
159,Фролова Олеся Георгиевна,27,Ж,Аспирантура,Факультет урбанистики,2
160,Воронова Августа Леонидовна,30,Ж,Специалитет,Факультет урбанистики,2
161,Дьякова Влада Георгиевна,27,Ж,Магистратура,Факультет урбанистики,1
162,Егоров Викентий Филиппович,21,М,Бакалавриат,Факультет права,3
163,Федотова Регина Георгиевна,26,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",2
164,Назарова Дарина Вячеславовна,18,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3
165,Жукова Мирослава Тарасовна,30,Ж,Магистратура,Факультет экономических наук,1
166,Гаврилов Михаил Матвеевич,26,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",2
167,Мухина Стефания Максимовна,21,Ж,Бакалавриат,Факультет урбанистики,4
168,Шарова Лилия Анатольевна,30,Ж,Специалитет,Факультет гуманитарных наук,2
169,Назаров Геннадий Платонович,29,М,Магистратура,Факультет урбанистики,2
170,Дроздова Анфиса Евсеевна,23,Ж,Аспирантура,Факультет экономических наук,1
171,Горшкова Ярослава Антоновна,20,Ж,Магистратура,Факультет математики,2
172,Архипов Давид Федосеевич,30,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",2
173,Шубина Ия Федоровна,20,Ж,Аспирантура,Факультет бизнеса и менеджмента,3
174,Маслов Ярослав Иванович,30,М,Специалитет,Факультет социальных наук,2
175,Акимов Роман Юлианович,26,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4
176,Иванов Ярослав Варламович,20,М,Аспирантура,Факультет права,1
177,Чернова Надежда Савельевна,26,Ж,Специалитет,Факультет математики,1
178,Панкратова Элеонора Станиславовна,21,Ж,Специалитет,Факультет социальных наук,5
179,Князева Ксения Юлиановна,24,Ж,Аспирантура,Факультет гуманитарных наук,3
180,Князев Олег Александрович,24,М,Аспирантура,Факультет экономических наук,1
181,Беликов Август Родионович,20,М,Магистратура,Факультет бизнеса и менеджмента,2
182,Зуев Александр Даниилович,19,М,Бакалавриат,Факультет права,1
183,Федотов Леонид Матвеевич,24,М,Аспирантура,Факультет бизнеса и менеджмента,1
184,Киселева Сара Леонидовна,29,Ж,Аспирантура,Факультет компьютерных наук,3
185,Мухина Эмилия Леонтьевна,30,Ж,Специалитет,Факультет права,3
186,Виноградова Нина Виталиевна,29,Ж,Специалитет,Факультет экономических наук,4
187,Архипова Марианна Борисовна,26,Ж,Специалитет,Факультет урбанистики,3
188,Петухов Давид Юлианович,21,М,Специалитет,Факультет урбанистики,1
189,Зуев Артем Матвеевич,24,М,Магистратура,Факультет математики,2
190,Соколова Нелли Евсеевна,23,Ж,Магистратура,Факультет математики,1
191,Назаров Геннадий Юрьевич,19,М,Аспирантура,Факультет компьютерных наук,3
192,Сазонова Марта Ивановна,24,Ж,Бакалавриат,Факультет математики,1
193,Волков Агей Юрьевич,25,М,Магистратура,Факультет экономических наук,2
194,Фёдоров Руслан Родионович,21,М,Бакалавриат,Факультет бизнеса и менеджмента,1
195,Горшков Виталий Валентинович,26,М,Бакалавриат,Факультет компьютерных наук,3
196,Маслова Алина Арсеньевна,18,Ж,Магистратура,Факультет экономических наук,1
197,Беликова Алла Георгиевна,22,Ж,Аспирантура,Факультет математики,2
198,Федосеева Эвелина Евгеньевна,19,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1
199,Семенова Ольга Дмитриевна,22,Ж,Аспирантура,Факультет гуманитарных наук,2
200,Князев Георгий Максимович,29,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4
201,Федотова Лия Мироновна,24,Ж,Специалитет,Факультет гуманитарных наук,5
202,Тимофеева Римма Игнатьевна,21,Ж,Магистратура,Факультет права,2
203,Осипова Светлана Павловна,28,Ж,Аспирантура,Факультет социальных наук,1
204,Чернова Майя Федотовна,28,Ж,Бакалавриат,Факультет урбанистики,1
205,Капустина Мелания Петровна,22,Ж,Магистратура,Факультет социальных наук,1
206,Виноградов Ярослав Ярославович,19,М,Специалитет,Факультет бизнеса и менеджмента,3
207,Архипов Иван Тихонович,26,М,Аспирантура,Факультет математики,3
208,Ершова Милана Леонтьевна,21,Ж,Бакалавриат,Факультет гуманитарных наук,2
209,Васильев Станислав Александрович,20,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
210,Шилова Алла Алексеевна,30,Ж,Специалитет,Факультет математики,1
211,Маслов Евсей Филиппович,22,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1
212,Головина Эмилия Дмитриевна,18,Ж,Бакалавриат,Факультет урбанистики,3
213,Виноградова Ника Дмитриевна,30,Ж,Магистратура,Факультет математики,1
214,Мартынов Викентий Тимурович,21,М,Магистратура,Факультет социальных наук,1
215,Соловьёв Николай Тимурович,26,М,Магистратура,Факультет права,1
216,Новикова Нелли Ратмировна,24,Ж,Аспирантура,Факультет экономических наук,3
217,Иванова Сара Валерьевна,22,Ж,Бакалавриат,Факультет гуманитарных наук,2
218,Павлов Геннадий Савельевич,29,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",2
219,Шубина Кристина Тимуровна,29,Ж,Магистратура,Факультет экономических наук,2
220,Герасимова Надежда Филипповна,20,Ж,Специалитет,Факультет компьютерных наук,3
221,Жуков Родион Леонидович,22,М,Магистратура,Факультет урбанистики,1
222,Федосеева Нина Тихоновна,23,Ж,Бакалавриат,Факультет экономических наук,2
223,Волкова Наталья Эдуардовна,28,Ж,Бакалавриат,Факультет компьютерных наук,3
224,Осипов Роман Федотович,23,М,Бакалавриат,Факультет бизнеса и менеджмента,4
225,Чернышева Елена Юлиановна,20,Ж,Аспирантура,Факультет социальных наук,3
226,Смирнов Илья Федотович,27,М,Специалитет,Факультет математики,3
227,Быков Ефим Миронович,26,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
228,Зуев Ярослав Трофимович,25,М,Аспирантура,Факультет бизнеса и менеджмента,2
229,Михайлов Тихон Валерьевич,30,М,Бакалавриат,Факультет урбанистики,2
230,Зуева Алла Варламовна,23,Ж,Бакалавриат,Факультет бизнеса и менеджмента,1
231,Акимов Даниил Игнатьевич,20,М,Аспирантура,Факультет бизнеса и менеджмента,2
232,Карпов Юлиан Артёмович,29,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",2
233,Александров Вячеслав Викторович,24,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",4
234,Борисов Леонтий Олегович,22,М,Магистратура,Факультет математики,2
235,Осипова Роза Владимировна,28,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
236,Сазонова Василиса Георгиевна,24,Ж,Специалитет,Факультет экономических наук,3
237,Ефремова Изабелла Константиновна,26,Ж,Специалитет,Факультет математики,2
238,Иванова Полина Леонидовна,29,Ж,Аспирантура,Факультет экономических наук,3
239,Сергеев Макар Евсеевич,18,М,Бакалавриат,Факультет социальных наук,1
240,Дмитриев Илья Анатольевич,22,М,Специалитет,Факультет гуманитарных наук,3
241,Сазонова Милана Максимовна,20,Ж,Аспирантура,Факультет урбанистики,3
242,Белякова Алиса Вениаминовна,25,Ж,Аспирантура,Факультет социальных наук,1
243,Макаров Матвей Трофимович,21,М,Специалитет,Факультет компьютерных наук,3
244,Дьякова Стефания Викторовна,20,Ж,Магистратура,Факультет математики,1
245,Николаева Милана Федотовна,19,Ж,Аспирантура,Факультет урбанистики,2
246,Смирнов Макар Леонтьевич,27,М,Бакалавриат,Факультет бизнеса и менеджмента,3
247,Соловьёв Адам Эдуардович,19,М,Бакалавриат,Факультет компьютерных наук,2
248,Павлова Серафима Георгиевна,26,Ж,Специалитет,Факультет бизнеса и менеджмента,3
249,Беляев Геннадий Федосеевич,30,М,Бакалавриат,Факультет права,4
250,Фролова Эмилия Данииловна,22,Ж,Аспирантура,Факультет экономических наук,1
251,Ершов Игнат Филиппович,27,М,Бакалавриат,Факультет математики,4
252,Федотов Валерий Кириллович,29,М,Магистратура,Факультет права,2
253,Калашников Эраст Федорович,26,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",2
254,Акимов Кирилл Сергеевич,19,М,Бакалавриат,Факультет урбанистики,4
255,Поляков Савва Борисович,25,М,Магистратура,Факультет экономических наук,1
256,Акимова Алла Олеговна,24,Ж,Бакалавриат,Факультет урбанистики,1
257,Борисов Петр Филиппович,26,М,Бакалавриат,Факультет урбанистики,3
258,Кожевникова Елена Вениаминовна,29,Ж,Магистратура,Факультет права,1
259,Белякова Ангелина Данииловна,30,Ж,Магистратура,Факультет права,2
260,Морозова Яна Глебовна,24,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3
261,Карпова Виктория Кирилловна,25,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1
262,Киселева Василиса Андреевна,30,Ж,Специалитет,Факультет экономических наук,5
263,Ершова Жанна Леонтьевна,26,Ж,Аспирантура,Факультет социальных наук,3
264,Кондратьев Николай Юлианович,21,М,Аспирантура,Факультет бизнеса и менеджмента,2
265,Сергеева Изабелла Евграфовна,19,Ж,Аспирантура,Факультет компьютерных наук,3
266,Соколов Семен Алексеевич,19,М,Аспирантура,Факультет компьютерных наук,3
267,Крылов Вениамин Станиславович,19,М,Специалитет,Факультет экономических наук,3
268,Фёдоров Борис Викторович,29,М,Специалитет,Факультет гуманитарных наук,2
269,Крылова Виктория Михайловна,30,Ж,Магистратура,Факультет экономических наук,2
270,Ершова Марта Ратмировна,29,Ж,Специалитет,Факультет права,3
271,Виноградова Рита Максимовна,22,Ж,Аспирантура,Факультет компьютерных наук,3
272,Шилова Яна Платоновна,25,Ж,Аспирантура,Факультет социальных наук,1
273,Борисова Татьяна Николаевна,28,Ж,Бакалавриат,Факультет мировой экономики и мировой политики,4
274,Романова Венера Тарасовна,30,Ж,Магистратура,Факультет гуманитарных наук,2
275,Иванова Анфиса Тимуровна,23,Ж,Аспирантура,Факультет математики,3
276,Шилова Кристина Николаевна,25,Ж,Аспирантура,Факультет социальных наук,2
277,Беликова Римма Филипповна,23,Ж,Бакалавриат,Факультет гуманитарных наук,2
278,Петухова Роза Григорьевна,25,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3
279,Чернышева Агния Леонидовна,21,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
280,Кириллов Платон Артемович,23,М,Специалитет,Факультет права,3
281,Маслова Клара Леонтьевна,30,Ж,Бакалавриат,Факультет математики,4
282,Маслова Дарина Васильевна,23,Ж,Магистратура,Факультет экономических наук,1
283,Быков Игнат Филиппович,25,М,Аспирантура,Факультет урбанистики,2
284,Сидорова Ольга Мироновна,23,Ж,Специалитет,Факультет урбанистики,2
285,Ушакова Яна Романовна,22,Ж,Аспирантура,Факультет гуманитарных наук,1
286,Гордеева Гертруда Максимовна,21,Ж,Аспирантура,Факультет социальных наук,3
287,Осипова Варвара Евсеевна,20,Ж,Специалитет,Факультет гуманитарных наук,2
288,Иванов Николай Глебович,21,М,Бакалавриат,Факультет математики,2
289,Николаева Нелли Романовна,20,Ж,Магистратура,Факультет гуманитарных наук,1
290,Михайлов Феликс Вячеславович,28,М,Специалитет,Факультет мировой экономики и мировой политики,3
291,Макарова Зинаида Евгеньевна,19,Ж,Аспирантура,Факультет социальных наук,2
292,Богданов Михаил Юлианович,30,М,Бакалавриат,Факультет социальных наук,3
293,Смирнова Анастасия Вениаминовна,21,Ж,Магистратура,Факультет гуманитарных наук,1
294,Павлова Роза Романовна,18,Ж,Бакалавриат,Факультет социальных наук,3
295,Лазарева Серафима Федосеевна,25,Ж,Магистратура,Факультет мировой экономики и мировой политики,1
296,Ларионова Алина Филипповна,26,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1
297,Семенова Василиса Петровна,26,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3
298,Шубина Александра Анатольевна,29,Ж,Магистратура,Факультет бизнеса и менеджмента,2
299,Калашников Матвей Анатольевич,22,М,Аспирантура,Факультет компьютерных наук,1
300,Тарасов Станислав Юрьевич,25,М,Бакалавриат,Факультет гуманитарных наук,3
301,Орлова Эльза Ивановна,25,Ж,Бакалавриат,Факультет мировой экономики и мировой политики,2
302,Семенова Алевтина Тарасовна,28,Ж,Магистратура,Факультет компьютерных наук,2
303,Трофимова Надежда Юлиановна,27,Ж,Бакалавриат,Факультет гуманитарных наук,3
304,Акимов Август Родионович,27,М,Магистратура,Факультет компьютерных наук,2
305,Мартынова Мелания Григорьевна,26,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1
306,Беликов Феликс Геннадьевич,30,М,Специалитет,Факультет мировой экономики и мировой политики,3
307,Князев Вениамин Анатольевич,25,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4
308,Панкратов Аким Петрович,28,М,Специалитет,Факультет бизнеса и менеджмента,2
309,Шилова Серафима Артемовна,26,Ж,Аспирантура,Факультет мировой экономики и мировой политики,1
310,Иванова Регина Еремеевна,30,Ж,Бакалавриат,Факультет гуманитарных наук,3
311,Григорьева Агата Трофимовна,29,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3
312,Осипов Федот Глебович,22,М,Магистратура,Факультет экономических наук,2
313,Крылов Захар Саввич,30,М,Магистратура,Факультет бизнеса и менеджмента,2
314,Беляков Леонид Арсеньевич,28,М,Аспирантура,Факультет социальных наук,1
315,Овчинников Макар Евграфович,18,М,Специалитет,Факультет урбанистики,4
316,Иванов Георгий Саввич,18,М,Магистратура,Факультет социальных наук,2
317,Крылова Агния Тарасовна,24,Ж,Аспирантура,Факультет математики,3
318,Зуев Сергей Даниилович,23,М,Специалитет,Факультет математики,4
319,Соловьёв Клим Александрович,30,М,Специалитет,Факультет мировой экономики и мировой политики,2
320,Иванова Мелания Евгеньевна,21,Ж,Аспирантура,Факультет социальных наук,1
321,Ефремова Лилия Леонидовна,23,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",2
322,Чернова Ника Арсеньевна,27,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1
323,Миронов Глеб Георгиевич,27,М,Специалитет,Факультет экономических наук,3
324,Лазарева Стефания Савельевна,29,Ж,Аспирантура,Факультет экономических наук,1
325,Горшков Август Николаевич,26,М,Магистратура,Факультет экономических наук,1
